Name,Genus,Species,Kingdom,Subphylum,Class,Order,Family,Attributes
Buru honeyeater,Lichmera,Lichmera deningeri,Animalia,0,Aves,Passeriformes,Meliphagidae,"Terrestrial,Not a migrant,starts with"
Chestnut-crowned foliage-gleaner,Automolus,Automolus rufipileatus,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
Olivaceous elaenia,Elaenia,Elaenia mesoleuca,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Migrating,starts with"
Grey-bellied antbird,Ammonastes,Ammonastes pelzelni,Animalia,0,Aves,Passeriformes,Thamnophilidae,"Terrestrial,Not a migrant,starts with"
Spix's woodcreeper,Xiphorhynchus,Xiphorhynchus spixii,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
White-browed antbird,Myrmoborus,Myrmoborus leucophrys,Animalia,0,Aves,Passeriformes,Thamnophilidae,"Terrestrial,Not a migrant,starts with"
Hooded whistler,Pachycephala,Pachycephala implicata,Animalia,0,Aves,Passeriformes,Pachycephalidae,"Terrestrial,Not a migrant,starts with"
Admiralty cicadabird,Edolisoma,Edolisoma admiralitatis,Animalia,0,Aves,Passeriformes,Campephagidae,starts with
Plain-crested elaenia,Elaenia,Elaenia cristata,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Oʻahu petrel,Pterodroma,Pterodroma jugabilis,Animalia,0,Aves,Procellariiformes,Procellariidae,starts with
Dusky-tailed flatbill,Ramphotrigon,Ramphotrigon fuscicauda,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Grey-capped tyrannulet,Phyllomyias,Phyllomyias griseocapilla,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Greater scythebill,Drymotoxeres,Drymotoxeres pucheranii,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
McConnell's flycatcher,Mionectes,Mionectes macconnelli,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Parodi's hemispingus,Kleinothraupis,Kleinothraupis parodii,Animalia,0,Aves,Passeriformes,Thraupidae,"Terrestrial,Not a migrant,starts with"
Rufous cisticola,Cisticola,Cisticola rufus,Animalia,0,Aves,Passeriformes,Cisticolidae,"Terrestrial,Not a migrant,starts with"
Rufous-sided pygmy tyrant,Euscarthmus,Euscarthmus rufomarginatus,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Rusty-breasted wren-babbler,Turdinus,Gypsophila rufipectus,Animalia,0,Aves,Passeriformes,Pellorneidae,"Terrestrial,Not a migrant,starts with"
Scrub honeyeater,Microptilotis,Microptilotis albonotatus,Animalia,0,Aves,Passeriformes,Meliphagidae,"Terrestrial,Not a migrant,starts with"
Tucumán mountain finch,Poospiza,Poospiza baeri,Animalia,0,Aves,Passeriformes,Thraupidae,"Terrestrial,Not a migrant,starts with"
Huallaga tanager,Ramphocelus,Ramphocelus melanogaster,Animalia,0,Aves,Passeriformes,Thraupidae,"Terrestrial,Not a migrant,starts with"
Tawny-backed fantail,Rhipidura,Rhipidura superflua,Animalia,0,Aves,Passeriformes,Rhipiduridae,"Terrestrial,Not a migrant,starts with"
Rusty-fronted canastero,Asthenes,Asthenes ottonis,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
White-throated sierra finch,Ephippiospingus,Idiopsar erythronotus,Animalia,0,Aves,Passeriformes,Thraupidae,"Terrestrial,Not a migrant,starts with"
Western sirystes,Sirystes,Sirystes albogriseus,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Dusky-chested flycatcher,Myiozetetes,Myiozetetes luteiventris,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Rennell whistler,Pachycephala,Pachycephala feminina,Animalia,0,Aves,Passeriformes,Pachycephalidae,"Terrestrial,Not a migrant,starts with"
